Data Zone,Local Authority Code,Health domain 2012 rank,Health domain 2012 score1,"Standardised mortality ratio (ISD, 2007-2010) ","Comparative illness factor: standardised ratio (DWP, 2011)2","Hospital stays related to alcohol misuse: standardised ratio
(ISD, 2007-2010)","Hospital stays related to drug misuse: standardised ratio 
(ISD, 2007-2010)","Emergency stays in hospital: standardised ratio 
(ISD, 2007-2010)","Estimated proportion of population being prescribed drugs for anxiety, depression or psychosis 
(ISD, 2010)","Proportion of live singleton births of low birth weight
(ISD, 2006-2009)",,Notes
S01000098,100,425,1.31,98,125,481,622,158,0.09,0.08,,
S01000099,100,"5,956",-1.18,62,35,10,0,66,0.09,0.07,,
S01000100,100,892,0.96,82,55,240,844,159,0.09,0.07,,
S01000101,100,"5,627",-0.96,57,30,18,20,73,0.09,0.03,,
S01000102,100,"1,038",0.87,93,100,376,240,134,0.09,0.15,,
S01000103,100,"6,217",-1.39,69,15,37,0,57,0.09,0.03,,
S01000104,100,"5,283",-0.79,152,30,65,0,66,0.09,0,,
S01000105,100,"5,137",-0.73,93,35,56,84,68,0.09,0.02,,
S01000106,100,"5,967",-1.18,77,20,17,32,63,0.09,0.06,,
S01000107,100,"2,789",0.15,139,60,97,115,102,0.09,0.05,,
S01000108,100,"1,287",0.75,230,80,176,198,126,0.1,0.04,,
S01000109,100,"1,771",0.54,176,105,164,374,108,0.08,0.03,,
S01000110,100,"2,440",0.28,77,95,45,37,126,0.1,0.13,,
S01000111,100,"4,547",-0.49,91,25,107,0,86,0.09,0,,
S01000112,100,"2,326",0.33,95,105,132,170,109,0.09,0.03,,
S01000113,100,"6,263",-1.46,46,20,27,77,52,0.09,0.14,,
S01000114,100,"2,464",0.27,67,90,209,292,99,0.1,0.1,,
S01000115,100,"2,050",0.43,88,135,58,267,120,0.1,0.03,,
S01000116,100,"6,285",-1.49,37,30,84,22,47,0.09,0.06,,
S01000117,100,"2,352",0.32,155,80,83,26,117,0.1,0,,
S01000118,100,"1,762",0.54,114,70,110,321,126,0.1,0.12,,
S01000119,100,"1,342",0.73,104,95,326,341,123,0.09,0.06,,
S01000120,100,"5,338",-0.81,63,20,105,29,71,0.09,0,,
S01000121,100,"2,482",0.26,98,80,112,0,120,0.1,0.06,,
S01000122,100,"1,086",0.85,83,115,246,350,134,0.11,0.1,,
S01000123,100,"5,288",-0.79,66,45,18,76,73,0.09,0.04,,
S01000124,100,"3,749",-0.21,88,60,133,67,83,0.08,0.07,,
S01000125,100,"1,718",0.57,130,105,177,348,110,0.09,0.14,,
S01000126,100,521,1.21,166,135,259,128,154,0.1,0.11,,
S01000127,100,"6,088",-1.27,58,30,25,0,60,0.1,0,,
S01000128,100,"4,581",-0.50,76,90,127,70,66,0.08,0.07,,
S01000129,100,"6,231",-1.41,60,10,96,0,56,0.07,0,,
S01000130,100,"1,876",0.50,112,110,155,337,110,0.1,0.06,,
S01000131,100,"5,132",-0.72,74,30,25,28,79,0.09,0.06,,
S01000132,100,"4,249",-0.37,57,40,66,105,87,0.09,0.1,,
S01000133,100,"1,760",0.54,107,85,159,310,119,0.1,0.08,,
S01000134,100,806,1.01,88,115,279,323,146,0.11,0.07,,
S01000135,100,"1,282",0.75,115,110,241,478,120,0.1,0.1,,
S01000136,100,341,1.39,158,85,208,546,177,0.11,0.11,,
S01000137,100,"2,665",0.20,110,75,93,187,108,0.09,0,,
S01000138,100,"2,637",0.21,74,70,176,118,109,0.08,0.06,,
S01000139,100,"1,861",0.51,95,140,88,70,123,0.11,0.03,,
S01000140,100,"1,299",0.74,120,155,95,112,131,0.11,0.08,,
S01000141,100,"4,234",-0.37,188,45,21,0,87,0.1,0.02,,
S01000142,100,449,1.29,93,105,361,822,163,0.11,0.05,,
S01000143,100,"6,188",-1.37,32,30,13,0,62,0.09,0.13,,
S01000144,100,"4,519",-0.47,67,25,70,48,86,0.09,0.12,,
S01000145,100,412,1.32,162,175,164,290,157,0.11,0.16,,
S01000146,100,348,1.38,141,155,302,394,164,0.09,0.06,,
S01000147,100,"1,878",0.50,115,75,249,417,104,0.11,0.13,,
S01000148,100,338,1.39,157,110,322,288,167,0.11,0.11,,
S01000149,100,"2,130",0.40,117,80,179,113,116,0.08,0.02,,
S01000150,100,"2,087",0.42,46,75,163,617,119,0.11,0.09,,
S01000151,100,701,1.07,101,175,277,312,137,0.11,0.11,,
S01000152,100,"3,258",-0.01,287,115,59,71,77,0.09,0.08,,
S01000153,100,"1,642",0.60,87,70,352,98,128,0.09,0.04,,
S01000154,100,"3,648",-0.16,79,80,85,50,87,0.11,0,,
S01000155,100,"1,590",0.62,115,125,180,245,114,0.11,0.07,,
S01000156,100,"1,627",0.61,92,85,190,231,129,0.08,0.12,,
S01000157,100,104,1.81,188,170,318,415,195,0.11,0.03,,
S01000158,100,512,1.22,114,115,362,397,154,0.11,0.08,,
S01000159,100,"5,110",-0.71,135,60,37,19,64,0.09,0.07,,
S01000160,100,"1,920",0.48,128,95,81,360,113,0.11,0.14,,
S01000161,100,"6,327",-1.55,68,35,35,15,47,0.07,0,,
S01000162,100,"2,724",0.18,77,100,157,50,98,0.1,0.13,,
S01000163,100,700,1.07,95,180,158,358,148,0.11,0.07,,
S01000164,100,"2,425",0.29,105,75,119,156,116,0.08,0,,
S01000165,100,657,1.11,118,150,367,335,138,0.1,0.11,,
S01000166,100,"5,164",-0.74,90,50,53,20,68,0.07,0.09,,
S01000167,100,"1,962",0.47,95,110,51,80,129,0.11,0.11,,
S01000168,100,517,1.21,139,175,169,192,157,0.11,0.04,,
S01000169,100,"2,768",0.16,105,90,166,134,92,0.1,0.03,,
S01000170,100,"4,311",-0.40,72,55,134,141,76,0.07,0.03,,
S01000171,100,"6,173",-1.35,6,30,21,0,66,0.09,0.02,,
S01000172,100,"3,731",-0.20,93,20,128,191,92,0.1,0.05,,
S01000173,100,"1,242",0.78,85,115,249,197,133,0.1,0.07,,
S01000174,100,"6,147",-1.33,42,15,21,0,66,0.09,0.02,,
S01000175,100,"3,195",0.01,50,50,92,110,116,0.08,0.03,,
S01000176,100,"4,192",-0.35,123,35,57,0,87,0.08,0.25,,
S01000177,100,"4,558",-0.49,58,20,153,0,89,0.09,0.04,,
S01000178,100,"2,141",0.40,63,105,119,248,117,0.11,0.06,,
S01000179,100,71,1.97,158,175,453,463,203,0.1,0.12,,
S01000180,100,"1,451",0.68,107,90,68,230,139,0.11,0.19,,
S01000181,100,"1,135",0.82,58,90,218,672,144,0.11,0.03,,
S01000182,100,"1,021",0.88,148,130,91,473,137,0.11,0.07,,
S01000183,100,"1,556",0.64,63,115,229,257,132,0.08,0.03,,
S01000184,100,"4,114",-0.32,91,45,98,30,84,0.09,0.04,,
S01000185,100,287,1.47,135,145,462,733,166,0.09,0,,
S01000186,100,"1,829",0.52,128,135,67,112,120,0.1,0.08,,
S01000187,100,"1,413",0.70,163,90,60,655,128,0.11,0.11,,
S01000188,100,662,1.11,170,145,167,202,156,0.07,0.05,,
S01000189,100,"1,201",0.79,72,75,119,282,155,0.12,0.05,,
S01000190,100,"1,278",0.76,79,125,196,510,129,0.11,0.02,,
S01000191,100,"3,247",-0.01,63,70,124,110,96,0.09,0.11,,
S01000192,100,622,1.14,206,90,220,193,157,0.09,0.07,,
S01000193,100,718,1.06,90,125,264,298,147,0.11,0.17,,
S01000194,100,446,1.29,142,105,269,434,169,0.09,0.03,,
S01000195,100,713,1.07,134,110,281,984,137,0.1,0.08,,
S01000196,100,221,1.57,115,155,238,476,183,0.12,0.12,,
S01000197,100,"1,742",0.55,97,80,240,178,121,0.11,0,,
S01000198,100,242,1.54,93,150,204,334,195,0.11,0.12,,
S01000199,100,152,1.70,171,110,499,514,184,0.1,0.1,,
S01000200,100,"1,341",0.73,109,110,128,263,135,0.1,0.06,,
S01000201,100,929,0.94,101,90,552,132,140,0.1,0,,
S01000202,100,"1,745",0.55,151,70,194,149,118,0.1,0.05,,
S01000203,100,275,1.49,130,90,405,609,182,0.1,0.01,,
S01000204,100,"1,516",0.65,142,90,136,237,121,0.11,0.15,,
S01000205,100,"1,580",0.62,102,85,263,252,126,0.08,0.02,,
S01000206,100,"1,485",0.67,104,60,126,112,145,0.11,0.07,,
S01000207,100,350,1.38,122,170,297,535,161,0.1,0.04,,
S01000208,100,391,1.34,161,200,233,424,151,0.11,0.03,,
S01000209,100,61,2.00,138,165,373,754,212,0.11,0.1,,
S01000210,100,176,1.64,156,140,519,362,176,0.1,0.1,,
S01000211,100,315,1.42,130,120,323,1013,165,0.09,0.15,,
S01000212,100,"1,496",0.66,130,70,130,373,129,0.11,0.08,,
S01000213,100,"2,154",0.40,83,115,215,413,97,0.1,0.14,,
S01000214,100,"3,396",-0.06,77,50,202,377,85,0.1,0,,
S01000215,100,"3,498",-0.10,143,60,44,43,92,0.09,0.1,,
S01000216,100,"4,009",-0.29,113,45,78,0,88,0.1,0.04,,
S01000217,100,331,1.40,90,100,608,844,163,0.1,0.11,,
S01000218,100,"2,926",0.10,96,105,64,192,98,0.1,0,,
S01000219,100,222,1.57,178,120,264,1071,176,0.1,0.09,,
S01000220,100,"4,190",-0.35,64,60,141,56,80,0.06,0.13,,
S01000221,100,666,1.10,182,170,277,190,136,0.1,0.02,,
S01000222,100,"3,243",-0.01,75,70,31,471,100,0.1,0.13,,
S01000223,100,"3,301",-0.03,66,35,156,102,102,0.1,0.07,,
S01000224,100,"3,077",0.05,47,135,84,127,99,0.1,0,,
S01000225,100,"4,999",-0.66,60,50,43,51,74,0.08,0.08,,
S01000226,100,"4,840",-0.60,75,30,96,0,78,0.08,0.14,,
S01000227,100,"5,453",-0.87,66,75,38,0,66,0.08,0.01,,
S01000228,100,"4,254",-0.38,102,30,77,71,83,0.1,0.03,,
S01000229,100,"2,097",0.42,91,120,116,294,113,0.1,0,,
S01000230,100,"3,579",-0.13,87,55,115,89,89,0.08,0.12,,
S01000231,100,"5,991",-1.21,46,25,37,31,61,0.09,0.04,,
S01000232,100,"3,062",0.05,94,75,118,37,102,0.07,0.08,,
S01000233,100,"2,211",0.37,96,85,48,330,127,0.08,0.06,,
S01000234,100,"5,824",-1.09,41,30,31,35,65,0.09,0.07,,
S01000235,100,"5,876",-1.12,110,80,11,0,57,0.09,0.03,,
S01000236,100,"4,971",-0.65,54,55,45,143,74,0.08,0,,
S01000237,100,"4,361",-0.42,90,55,78,32,77,0.1,0.03,,
S01000238,100,"6,004",-1.22,33,15,20,0,72,0.09,0.05,,
S01000239,100,"4,685",-0.54,103,50,44,79,74,0.08,0.05,,
S01000240,100,"4,563",-0.49,92,50,39,0,84,0.09,0.05,,
S01000241,100,"6,463",-1.89,19,20,24,0,48,0.08,0,,
S01000242,100,"5,047",-0.68,52,35,63,51,76,0.08,0.06,,
S01000243,100,"4,977",-0.65,40,30,55,0,91,0.08,0,,
S01000244,100,"3,318",-0.03,102,110,59,67,88,0.1,0.09,,
S01000245,100,"4,483",-0.46,74,70,61,113,73,0.09,0.09,,
S01000246,100,"4,790",-0.58,92,50,9,175,82,0.09,0.04,,
S01000247,100,"5,625",-0.96,59,25,41,117,65,0.08,0.14,,
S01000248,100,"5,342",-0.81,71,30,82,0,72,0.08,0,,
S01000249,100,"4,212",-0.36,33,45,141,112,89,0.08,0,,
S01000250,100,"5,131",-0.72,132,50,24,0,71,0.08,0.06,,
S01000251,100,"6,154",-1.33,69,10,22,0,65,0.08,0,,
S01000252,100,"4,809",-0.59,41,20,92,65,86,0.08,0.08,,
S01000253,100,"6,436",-1.80,60,10,12,0,52,0.08,0,,
S01000254,100,"5,266",-0.78,56,25,42,0,84,0.08,0,,
S01000255,100,"4,666",-0.53,21,25,92,69,92,0.08,0.08,,
S01000256,100,"2,862",0.12,86,115,88,37,102,0.09,0.06,,
S01000257,100,"4,533",-0.48,40,70,71,59,81,0.09,0,,
S01000258,100,"6,431",-1.79,34,15,22,0,51,0.08,0,,
S01000259,100,"6,148",-1.33,8,15,26,0,69,0.08,0.16,,
S01000260,100,"5,727",-1.03,59,20,27,67,70,0.08,0,,
S01000261,100,"5,839",-1.10,73,45,40,0,60,0.09,0,,
S01000262,100,"5,379",-0.84,74,65,31,28,66,0.09,0,,
S01000263,100,"2,856",0.13,131,100,27,24,117,0.08,0,,
S01000264,100,"2,954",0.09,76,90,86,142,103,0.09,0.03,,
S01000265,100,"2,347",0.32,120,65,114,117,115,0.09,0.08,,
S01000266,100,"2,925",0.10,107,110,103,76,94,0.09,0.02,,
S01000267,100,"4,273",-0.38,93,90,44,83,77,0.09,0,,
S01000268,110,"5,222",-0.76,69,85,17,0,73,0.09,0.04,,
S01000269,110,"5,608",-0.95,89,40,21,36,64,0.09,0.07,,
S01000270,110,"4,454",-0.45,67,75,67,110,76,0.08,0.03,,
S01000271,110,"3,056",0.06,101,80,68,0,113,0.07,0.08,,
S01000272,110,"4,309",-0.40,93,55,27,69,86,0.08,0.07,,
S01000273,110,"6,071",-1.26,47,35,33,33,56,0.09,0.08,,
S01000274,110,"5,125",-0.72,95,50,38,0,75,0.07,0,,
S01000275,110,"5,171",-0.74,93,80,43,0,66,0.08,0.07,,
S01000276,110,"6,363",-1.62,38,30,24,0,53,0.07,0,,
S01000277,110,"3,895",-0.25,117,65,122,146,77,0.07,0.03,,
S01000278,110,"2,584",0.23,108,65,134,184,108,0.07,0.1,,
S01000279,110,"6,065",-1.26,119,75,13,0,52,0.08,0.04,,
S01000280,110,"4,207",-0.36,139,40,83,0,85,0.07,0.05,,
S01000281,110,"5,355",-0.82,66,40,46,0,71,0.08,0.09,,
S01000282,110,"5,702",-1.01,58,35,12,32,74,0.07,0,,
S01000283,110,"5,302",-0.79,48,35,23,26,83,0.06,0.07,,
S01000284,110,"5,650",-0.98,82,45,21,19,65,0.08,0.04,,
S01000285,110,"5,737",-1.03,59,30,49,0,67,0.07,0.06,,
S01000286,110,"4,104",-0.32,74,75,84,54,80,0.09,0.05,,
S01000287,110,"5,247",-0.77,126,55,33,78,63,0.09,0,,
S01000288,110,"4,887",-0.62,90,30,66,0,78,0.09,0.07,,
S01000289,110,"5,191",-0.75,80,55,42,30,68,0.09,0.03,,
S01000290,110,"3,190",0.01,66,80,73,160,102,0.09,0.04,,
S01000291,110,"4,986",-0.66,153,75,36,32,62,0.09,0.1,,
S01000292,110,"4,158",-0.34,109,75,46,30,80,0.09,0.07,,
S01000293,110,"3,557",-0.12,74,105,111,154,81,0.09,0.07,,
S01000294,110,"6,294",-1.51,38,35,28,0,52,0.09,0.06,,
S01000295,110,"6,040",-1.24,88,20,30,0,58,0.09,0.17,,
S01000296,110,"6,019",-1.22,55,45,22,0,60,0.09,0.02,,
S01000297,110,"3,787",-0.22,70,60,103,61,88,0.09,0.04,,
S01000298,110,"6,013",-1.22,61,40,3,0,69,0.09,0.02,,
S01000299,110,"5,286",-0.79,118,50,21,28,67,0.08,0.1,,
S01000300,110,"6,241",-1.43,67,30,20,0,56,0.08,0,,
S01000301,110,"6,030",-1.23,101,25,68,42,54,0.06,0,,
S01000302,110,"5,710",-1.01,50,20,24,0,76,0.09,0.04,,
S01000303,110,"6,364",-1.62,28,30,24,0,50,0.1,0.11,,
S01000304,110,"6,106",-1.29,56,20,22,0,65,0.07,0.04,,
S01000305,110,"4,807",-0.58,59,80,28,0,84,0.07,0.03,,
S01000306,110,"6,290",-1.51,58,30,3,0,62,0.07,0.02,,
S01000307,110,"4,657",-0.53,81,45,26,22,88,0.07,0.05,,
S01000308,110,"5,895",-1.14,70,25,34,0,65,0.07,0.05,,
S01000309,110,"5,481",-0.89,75,45,25,0,68,0.11,0.04,,
S01000310,110,"5,813",-1.08,52,50,20,69,63,0.07,0.04,,
S01000311,110,"4,936",-0.64,100,35,78,0,75,0.08,0.03,,
S01000312,110,"4,014",-0.29,137,30,118,0,84,0.1,0.12,,
S01000313,110,"3,905",-0.25,62,50,67,132,93,0.08,0.04,,
S01000314,110,"4,705",-0.55,38,40,47,42,90,0.07,0.06,,
S01000315,110,"5,185",-0.75,61,20,90,45,76,0.08,0,,
S01000316,110,"3,227",0.00,78,90,102,262,90,0.1,0,,
S01000317,110,"2,457",0.28,138,50,146,102,115,0.08,0,,
S01000318,110,"6,483",-2.03,28,15,26,0,43,0.08,0,,
S01000319,110,"3,519",-0.11,220,45,75,92,86,0.07,0.07,,
S01000320,110,"4,262",-0.38,95,20,100,27,95,0.07,0,,
S01000321,110,"6,058",-1.25,47,30,25,0,65,0.07,0,,
S01000322,110,"6,304",-1.53,47,30,24,0,54,0.08,0,,
S01000323,110,"3,693",-0.18,72,55,115,84,91,0.08,0.03,,
S01000324,110,"4,629",-0.52,62,35,39,23,93,0.07,0.02,,
S01000325,110,"5,036",-0.68,80,45,30,18,77,0.08,0.03,,
S01000326,110,"3,642",-0.16,91,60,59,0,102,0.07,0.14,,
S01000327,110,"4,987",-0.66,80,40,43,84,76,0.07,0,,
S01000328,110,"2,906",0.11,136,35,190,0,112,0.07,0.06,,
S01000329,110,"2,893",0.11,117,65,101,188,103,0.07,0.03,,
S01000330,110,"4,665",-0.53,82,55,35,102,77,0.08,0.06,,
S01000331,110,"4,740",-0.56,83,45,36,0,80,0.11,0.07,,
S01000332,110,"5,272",-0.78,72,40,38,44,68,0.11,0.04,,
S01000333,110,"6,176",-1.35,19,35,41,81,57,0.07,0,,
S01000334,110,"3,730",-0.20,126,70,61,31,81,0.11,0.11,,
S01000335,110,"4,983",-0.66,78,40,23,0,88,0.07,0,,
S01000336,110,"5,053",-0.69,83,70,47,52,69,0.07,0,,
S01000337,110,"5,668",-0.99,57,30,12,0,78,0.07,0.08,,
S01000338,110,"4,823",-0.59,138,55,11,0,81,0.08,0.11,,
S01000339,110,"5,394",-0.84,80,60,76,0,65,0.06,0.05,,
S01000340,110,"5,482",-0.89,53,35,23,0,78,0.07,0.06,,
S01000341,110,"5,885",-1.13,94,50,32,0,57,0.09,0,,
S01000342,110,"3,453",-0.08,99,60,79,52,97,0.08,0.04,,
S01000343,110,"6,130",-1.31,137,25,14,0,58,0.07,0,,
S01000344,110,"5,435",-0.86,47,70,26,49,67,0.09,0.04,,
S01000345,110,"4,990",-0.66,84,20,71,36,79,0.07,0.05,,
S01000346,110,"5,605",-0.95,85,35,9,0,77,0.07,0.04,,
S01000347,110,"5,224",-0.76,68,40,35,0,79,0.07,0.02,,
S01000348,110,"6,252",-1.44,39,30,24,0,58,0.07,0.04,,
S01000349,110,"4,780",-0.58,104,45,22,0,83,0.07,0.18,,
S01000350,110,"6,046",-1.24,23,40,17,0,68,0.07,0.03,,
S01000351,110,"5,613",-0.95,66,35,71,0,66,0.07,0.04,,
S01000352,110,"5,389",-0.84,73,30,44,0,73,0.07,0.13,,
S01000353,110,"6,284",-1.49,51,15,9,0,64,0.07,0.05,,
S01000354,110,"4,162",-0.34,134,90,30,0,85,0.07,0.04,,
S01000355,110,"5,326",-0.81,92,20,59,0,75,0.07,0.08,,
S01000356,110,"6,322",-1.55,64,30,13,0,56,0.06,0,,
S01000357,110,"6,418",-1.76,32,15,25,0,53,0.07,0,,
S01000358,110,"6,278",-1.48,69,25,15,55,54,0.07,0,,
S01000359,110,"6,435",-1.80,37,20,13,0,51,0.07,0.07,,
S01000360,110,"6,120",-1.30,69,35,0,0,68,0.1,0,,
S01000361,110,"5,990",-1.21,25,25,34,0,69,0.07,0.04,,
S01000362,110,"5,747",-1.04,48,35,22,27,68,0.09,0.03,,
S01000363,110,"6,377",-1.65,27,25,10,22,58,0.05,0.05,,
S01000364,110,"6,095",-1.27,108,50,12,0,57,0.06,0.06,,
S01000365,110,"5,037",-0.68,35,65,38,19,78,0.09,0.03,,
S01000366,110,"5,628",-0.96,51,50,29,10,67,0.08,0.04,,
S01000367,110,"5,073",-0.70,61,30,57,30,78,0.08,0.03,,
S01000368,110,"5,682",-1.00,62,55,36,26,66,0.05,0,,
S01000369,110,"5,270",-0.78,64,55,43,28,68,0.08,0.11,,
